dataset: 753 demos kept, 271 rejected, 355416 samples; episode length 472-472 env steps
policy: FlowMatchingPolicy, 23275k params, chunk 50, n_action_steps 15, 10 Euler steps
{"step": 6800, "loss": 0.06720428168773651, "mse": 0.06720428168773651, "sec": 98.1}
{"step": 6900, "loss": 0.05044610798358917, "mse": 0.05044610798358917, "sec": 99.5}
{"step": 7000, "loss": 0.052151378244161606, "mse": 0.052151378244161606, "sec": 100.9}
{"step": 7100, "loss": 0.06650115549564362, "mse": 0.06650115549564362, "sec": 102.4}
{"step": 7200, "loss": 0.12017309665679932, "mse": 0.12017309665679932, "sec": 103.8}
{"step": 7300, "loss": 0.10856157541275024, "mse": 0.10856157541275024, "sec": 105.2}
{"step": 7400, "loss": 0.06717479974031448, "mse": 0.06717479974031448, "sec": 106.6}
{"step": 7500, "loss": 0.09244706481695175, "mse": 0.09244706481695175, "sec": 108.0}
{"step": 7600, "loss": 0.04611651226878166, "mse": 0.04611651226878166, "sec": 109.5}
{"step": 7700, "loss": 0.051170069724321365, "mse": 0.051170069724321365, "sec": 110.9}
{"step": 7800, "loss": 0.07846976816654205, "mse": 0.07846976816654205, "sec": 112.3}
{"step": 7900, "loss": 0.08199886977672577, "mse": 0.08199886977672577, "sec": 113.7}
{"step": 8000, "loss": 0.06621826440095901, "mse": 0.06621826440095901, "sec": 115.1}
{"step": 8100, "loss": 0.0756567046046257, "mse": 0.0756567046046257, "sec": 116.6}
{"step": 8200, "loss": 0.04791175201535225, "mse": 0.04791175201535225, "sec": 118.0}
{"step": 8300, "loss": 0.045987945050001144, "mse": 0.045987945050001144, "sec": 119.4}
{"step": 8400, "loss": 0.09396302700042725, "mse": 0.09396302700042725, "sec": 120.8}
{"step": 8500, "loss": 0.04998322203755379, "mse": 0.04998322203755379, "sec": 122.2}
{"step": 8600, "loss": 0.08545579016208649, "mse": 0.08545579016208649, "sec": 123.7}
{"step": 8700, "loss": 0.05190013721585274, "mse": 0.05190013721585274, "sec": 125.1}
{"step": 8800, "loss": 0.07364927232265472, "mse": 0.07364927232265472, "sec": 126.5}
{"step": 8900, "loss": 0.051907509565353394, "mse": 0.051907509565353394, "sec": 127.9}
{"step": 9000, "loss": 0.04342568293213844, "mse": 0.04342568293213844, "sec": 129.4}
