dataset: 774 demos kept, 250 rejected, 251550 samples; episode length 325-325 env steps
policy: FlowMatchingPolicy, 23275k params, chunk 50, n_action_steps 15, 10 Euler steps
{"step": 6900, "loss": 0.0548386387526989, "mse": 0.0548386387526989, "sec": 99.8}
{"step": 7000, "loss": 0.038560789078474045, "mse": 0.038560789078474045, "sec": 101.2}
{"step": 7100, "loss": 0.06888586282730103, "mse": 0.06888586282730103, "sec": 102.7}
{"step": 7200, "loss": 0.09802321344614029, "mse": 0.09802321344614029, "sec": 104.1}
{"step": 7300, "loss": 0.13076941668987274, "mse": 0.13076941668987274, "sec": 105.5}
{"step": 7400, "loss": 0.06385073810815811, "mse": 0.06385073810815811, "sec": 106.9}
{"step": 7500, "loss": 0.05983772501349449, "mse": 0.05983772501349449, "sec": 108.4}
{"step": 7600, "loss": 0.05080239474773407, "mse": 0.05080239474773407, "sec": 109.8}
{"step": 7700, "loss": 0.03891093283891678, "mse": 0.03891093283891678, "sec": 111.2}
{"step": 7800, "loss": 0.08198588341474533, "mse": 0.08198588341474533, "sec": 112.6}
{"step": 7900, "loss": 0.07404965907335281, "mse": 0.07404965907335281, "sec": 114.2}
{"step": 8000, "loss": 0.05101644620299339, "mse": 0.05101644620299339, "sec": 115.6}
{"step": 8100, "loss": 0.05170212313532829, "mse": 0.05170212313532829, "sec": 117.0}
{"step": 8200, "loss": 0.04787356033921242, "mse": 0.04787356033921242, "sec": 118.4}
{"step": 8300, "loss": 0.046915244311094284, "mse": 0.046915244311094284, "sec": 119.9}
{"step": 8400, "loss": 0.09963370114564896, "mse": 0.09963370114564896, "sec": 121.3}
{"step": 8500, "loss": 0.047520630061626434, "mse": 0.047520630061626434, "sec": 122.7}
{"step": 8600, "loss": 0.08737500756978989, "mse": 0.08737500756978989, "sec": 124.1}
{"step": 8700, "loss": 0.06053683161735535, "mse": 0.06053683161735535, "sec": 125.6}
{"step": 8800, "loss": 0.07891395688056946, "mse": 0.07891395688056946, "sec": 127.0}
{"step": 8900, "loss": 0.041700322180986404, "mse": 0.041700322180986404, "sec": 128.4}
{"step": 9000, "loss": 0.035584188997745514, "mse": 0.035584188997745514, "sec": 129.8}
{"step": 9100, "loss": 0.047873903065919876, "mse": 0.047873903065919876, "sec": 131.3}
{"step": 9200, "loss": 0.03343025967478752, "mse": 0.03343025967478752, "sec": 132.7}
{"step": 9300, "loss": 0.05654529854655266, "mse": 0.05654529854655266, "sec": 134.1}
{"step": 9400, "loss": 0.07028474658727646, "mse": 0.07028474658727646, "sec": 135.5}
