dataset: 774 demos kept, 250 rejected, 251550 samples; episode length 325-325 env steps
policy: FlowMatchingPolicy, 23275k params, chunk 50, n_action_steps 15, 10 Euler steps
{"step": 100, "loss": 0.31386980414390564, "mse": 0.31386980414390564, "sec": 1.8}
{"step": 200, "loss": 0.18008758127689362, "mse": 0.18008758127689362, "sec": 3.2}
{"step": 300, "loss": 0.19853566586971283, "mse": 0.19853566586971283, "sec": 4.6}
{"step": 400, "loss": 0.20747962594032288, "mse": 0.20747962594032288, "sec": 6.0}
{"step": 500, "loss": 0.1223149374127388, "mse": 0.1223149374127388, "sec": 7.4}
{"step": 600, "loss": 0.10776593536138535, "mse": 0.10776593536138535, "sec": 8.9}
{"step": 700, "loss": 0.15542875230312347, "mse": 0.15542875230312347, "sec": 10.3}
{"step": 800, "loss": 0.11297350376844406, "mse": 0.11297350376844406, "sec": 11.7}
{"step": 900, "loss": 0.09431179612874985, "mse": 0.09431179612874985, "sec": 13.1}
{"step": 1000, "loss": 0.11459354311227798, "mse": 0.11459354311227798, "sec": 14.5}
{"step": 1100, "loss": 0.10609910637140274, "mse": 0.10609910637140274, "sec": 16.0}
{"step": 1200, "loss": 0.1544836461544037, "mse": 0.1544836461544037, "sec": 17.4}
{"step": 1300, "loss": 0.11534722149372101, "mse": 0.11534722149372101, "sec": 18.8}
{"step": 1400, "loss": 0.1108083426952362, "mse": 0.1108083426952362, "sec": 20.3}
{"step": 1500, "loss": 0.10861438512802124, "mse": 0.10861438512802124, "sec": 21.7}
{"step": 1600, "loss": 0.08900310099124908, "mse": 0.08900310099124908, "sec": 23.1}
{"step": 1700, "loss": 0.09268935769796371, "mse": 0.09268935769796371, "sec": 24.5}
{"step": 1800, "loss": 0.06634712219238281, "mse": 0.06634712219238281, "sec": 26.0}
{"step": 1900, "loss": 0.0906825140118599, "mse": 0.0906825140118599, "sec": 27.4}
{"step": 2000, "loss": 0.07807716727256775, "mse": 0.07807716727256775, "sec": 28.9}
{"step": 2100, "loss": 0.09034907817840576, "mse": 0.09034907817840576, "sec": 30.4}
{"step": 2200, "loss": 0.06295982003211975, "mse": 0.06295982003211975, "sec": 32.0}
{"step": 2300, "loss": 0.10993670672178268, "mse": 0.10993670672178268, "sec": 33.5}
{"step": 2400, "loss": 0.09588604420423508, "mse": 0.09588604420423508, "sec": 35.0}
{"step": 2500, "loss": 0.1392989158630371, "mse": 0.1392989158630371, "sec": 36.6}
{"step": 2600, "loss": 0.05965174362063408, "mse": 0.05965174362063408, "sec": 38.1}
{"step": 2700, "loss": 0.086497001349926, "mse": 0.086497001349926, "sec": 39.5}
{"step": 2800, "loss": 0.06077616289258003, "mse": 0.06077616289258003, "sec": 41.0}
{"step": 2900, "loss": 0.0691927969455719, "mse": 0.0691927969455719, "sec": 42.4}
{"step": 3000, "loss": 0.07928842306137085, "mse": 0.07928842306137085, "sec": 43.8}
{"step": 3100, "loss": 0.06647826731204987, "mse": 0.06647826731204987, "sec": 45.3}
{"step": 3200, "loss": 0.1030021607875824, "mse": 0.1030021607875824, "sec": 46.7}
{"step": 3300, "loss": 0.0753224641084671, "mse": 0.0753224641084671, "sec": 48.2}
{"step": 3400, "loss": 0.07757779210805893, "mse": 0.07757779210805893, "sec": 49.6}
{"step": 3500, "loss": 0.09425894916057587, "mse": 0.09425894916057587, "sec": 51.0}
{"step": 3600, "loss": 0.076230488717556, "mse": 0.076230488717556, "sec": 52.5}
{"step": 3700, "loss": 0.09699280560016632, "mse": 0.09699280560016632, "sec": 53.9}
{"step": 3800, "loss": 0.07325174659490585, "mse": 0.07325174659490585, "sec": 55.4}
{"step": 3900, "loss": 0.05903249979019165, "mse": 0.05903249979019165, "sec": 56.8}
{"step": 4000, "loss": 0.06878485530614853, "mse": 0.06878485530614853, "sec": 58.4}
{"step": 4100, "loss": 0.06463906168937683, "mse": 0.06463906168937683, "sec": 59.8}
{"step": 4200, "loss": 0.06751058995723724, "mse": 0.06751058995723724, "sec": 61.2}
{"step": 4300, "loss": 0.06256044656038284, "mse": 0.06256044656038284, "sec": 62.7}
{"step": 4400, "loss": 0.05800512805581093, "mse": 0.05800512805581093, "sec": 64.1}
{"step": 4500, "loss": 0.09071355313062668, "mse": 0.09071355313062668, "sec": 65.5}
{"step": 4600, "loss": 0.08157476782798767, "mse": 0.08157476782798767, "sec": 67.0}
{"step": 4700, "loss": 0.08904775977134705, "mse": 0.08904775977134705, "sec": 68.4}
{"step": 4800, "loss": 0.05578741058707237, "mse": 0.05578741058707237, "sec": 69.8}
{"step": 4900, "loss": 0.05892670527100563, "mse": 0.05892670527100563, "sec": 71.3}
{"step": 5000, "loss": 0.04792710766196251, "mse": 0.04792710766196251, "sec": 72.7}
{"step": 5100, "loss": 0.07739923894405365, "mse": 0.07739923894405365, "sec": 74.1}
{"step": 5200, "loss": 0.07276751101016998, "mse": 0.07276751101016998, "sec": 75.6}
{"step": 5300, "loss": 0.10064081102609634, "mse": 0.10064081102609634, "sec": 77.0}
{"step": 5400, "loss": 0.05051330476999283, "mse": 0.05051330476999283, "sec": 78.4}
{"step": 5500, "loss": 0.08701931685209274, "mse": 0.08701931685209274, "sec": 79.8}
{"step": 5600, "loss": 0.05790417641401291, "mse": 0.05790417641401291, "sec": 81.3}
{"step": 5700, "loss": 0.06678815186023712, "mse": 0.06678815186023712, "sec": 82.7}
{"step": 5800, "loss": 0.08182154595851898, "mse": 0.08182154595851898, "sec": 84.1}
{"step": 5900, "loss": 0.07310906052589417, "mse": 0.07310906052589417, "sec": 85.6}
{"step": 6000, "loss": 0.04762475937604904, "mse": 0.04762475937604904, "sec": 87.0}
{"step": 6100, "loss": 0.06558351218700409, "mse": 0.06558351218700409, "sec": 88.4}
{"step": 6200, "loss": 0.06511099636554718, "mse": 0.06511099636554718, "sec": 89.9}
{"step": 6300, "loss": 0.06242112070322037, "mse": 0.06242112070322037, "sec": 91.3}
{"step": 6400, "loss": 0.044094644486904144, "mse": 0.044094644486904144, "sec": 92.7}
{"step": 6500, "loss": 0.03770415857434273, "mse": 0.03770415857434273, "sec": 94.1}
{"step": 6600, "loss": 0.04191732779145241, "mse": 0.04191732779145241, "sec": 95.6}
{"step": 6700, "loss": 0.07134535908699036, "mse": 0.07134535908699036, "sec": 97.0}
{"step": 6800, "loss": 0.08433595299720764, "mse": 0.08433595299720764, "sec": 98.4}
{"step": 6900, "loss": 0.06813494116067886, "mse": 0.06813494116067886, "sec": 99.8}
{"step": 7000, "loss": 0.05934928357601166, "mse": 0.05934928357601166, "sec": 101.3}
{"step": 7100, "loss": 0.08264262229204178, "mse": 0.08264262229204178, "sec": 102.7}
{"step": 7200, "loss": 0.08943857252597809, "mse": 0.08943857252597809, "sec": 104.1}
{"step": 7300, "loss": 0.06483247131109238, "mse": 0.06483247131109238, "sec": 105.5}
{"step": 7400, "loss": 0.06381803005933762, "mse": 0.06381803005933762, "sec": 107.0}
{"step": 7500, "loss": 0.10259826481342316, "mse": 0.10259826481342316, "sec": 108.4}
{"step": 7600, "loss": 0.07393445819616318, "mse": 0.07393445819616318, "sec": 109.8}
{"step": 7700, "loss": 0.07635678350925446, "mse": 0.07635678350925446, "sec": 111.2}
{"step": 7800, "loss": 0.0658792182803154, "mse": 0.0658792182803154, "sec": 112.7}
{"step": 7900, "loss": 0.049220290035009384, "mse": 0.049220290035009384, "sec": 114.2}
{"step": 8000, "loss": 0.06563860177993774, "mse": 0.06563860177993774, "sec": 115.7}
{"step": 8100, "loss": 0.10546694695949554, "mse": 0.10546694695949554, "sec": 117.1}
{"step": 8200, "loss": 0.0673300102353096, "mse": 0.0673300102353096, "sec": 118.5}
{"step": 8300, "loss": 0.10515146702528, "mse": 0.10515146702528, "sec": 119.9}
{"step": 8400, "loss": 0.041041456162929535, "mse": 0.041041456162929535, "sec": 121.3}
{"step": 8500, "loss": 0.08056764304637909, "mse": 0.08056764304637909, "sec": 122.8}
{"step": 8600, "loss": 0.06930707395076752, "mse": 0.06930707395076752, "sec": 124.2}
{"step": 8700, "loss": 0.0832996517419815, "mse": 0.0832996517419815, "sec": 125.6}
{"step": 8800, "loss": 0.07046390324831009, "mse": 0.07046390324831009, "sec": 127.0}
{"step": 8900, "loss": 0.08148456364870071, "mse": 0.08148456364870071, "sec": 128.4}
{"step": 9000, "loss": 0.0508161261677742, "mse": 0.0508161261677742, "sec": 129.9}
{"step": 9100, "loss": 0.03934973478317261, "mse": 0.03934973478317261, "sec": 131.3}
{"step": 9200, "loss": 0.052429016679525375, "mse": 0.052429016679525375, "sec": 132.7}
{"step": 9300, "loss": 0.044015005230903625, "mse": 0.044015005230903625, "sec": 134.1}
{"step": 9400, "loss": 0.04618047550320625, "mse": 0.04618047550320625, "sec": 135.5}
{"step": 9500, "loss": 0.06671833246946335, "mse": 0.06671833246946335, "sec": 137.0}
{"step": 9600, "loss": 0.05078529939055443, "mse": 0.05078529939055443, "sec": 138.4}
{"step": 9700, "loss": 0.07948188483715057, "mse": 0.07948188483715057, "sec": 139.8}
{"step": 9800, "loss": 0.040053512901067734, "mse": 0.040053512901067734, "sec": 141.2}
{"step": 9900, "loss": 0.07286057621240616, "mse": 0.07286057621240616, "sec": 142.6}
{"step": 10000, "loss": 0.03735114634037018, "mse": 0.03735114634037018, "sec": 144.0}
{"step": 10100, "loss": 0.03998679295182228, "mse": 0.03998679295182228, "sec": 145.5}
{"step": 10200, "loss": 0.0884556844830513, "mse": 0.0884556844830513, "sec": 147.0}
{"step": 10300, "loss": 0.07670605182647705, "mse": 0.07670605182647705, "sec": 148.4}
{"step": 10400, "loss": 0.06021569296717644, "mse": 0.06021569296717644, "sec": 149.8}
{"step": 10500, "loss": 0.09499434381723404, "mse": 0.09499434381723404, "sec": 151.2}
{"step": 10600, "loss": 0.06661482155323029, "mse": 0.06661482155323029, "sec": 152.6}
{"step": 10700, "loss": 0.03543799743056297, "mse": 0.03543799743056297, "sec": 154.1}
{"step": 10800, "loss": 0.04454682022333145, "mse": 0.04454682022333145, "sec": 155.5}
{"step": 10900, "loss": 0.0519392304122448, "mse": 0.0519392304122448, "sec": 156.9}
{"step": 11000, "loss": 0.05646056681871414, "mse": 0.05646056681871414, "sec": 158.3}
{"step": 11100, "loss": 0.07659109681844711, "mse": 0.07659109681844711, "sec": 159.7}
{"step": 11200, "loss": 0.09688036143779755, "mse": 0.09688036143779755, "sec": 161.1}
{"step": 11300, "loss": 0.03633507713675499, "mse": 0.03633507713675499, "sec": 162.6}
{"step": 11400, "loss": 0.09088251739740372, "mse": 0.09088251739740372, "sec": 164.0}
{"step": 11500, "loss": 0.04789736121892929, "mse": 0.04789736121892929, "sec": 165.4}
{"step": 11600, "loss": 0.04950462654232979, "mse": 0.04950462654232979, "sec": 166.8}
{"step": 11700, "loss": 0.07031542807817459, "mse": 0.07031542807817459, "sec": 168.2}
{"step": 11800, "loss": 0.0937143862247467, "mse": 0.0937143862247467, "sec": 169.8}
{"step": 11900, "loss": 0.05333169922232628, "mse": 0.05333169922232628, "sec": 171.2}
{"step": 12000, "loss": 0.03596401959657669, "mse": 0.03596401959657669, "sec": 172.6}
{"step": 12100, "loss": 0.06978723406791687, "mse": 0.06978723406791687, "sec": 174.0}
{"step": 12200, "loss": 0.03552817925810814, "mse": 0.03552817925810814, "sec": 175.4}
{"step": 12300, "loss": 0.04681781306862831, "mse": 0.04681781306862831, "sec": 176.9}
{"step": 12400, "loss": 0.043378137052059174, "mse": 0.043378137052059174, "sec": 178.3}
{"step": 12500, "loss": 0.05795987322926521, "mse": 0.05795987322926521, "sec": 179.7}
{"step": 12600, "loss": 0.05738495662808418, "mse": 0.05738495662808418, "sec": 181.1}
{"step": 12700, "loss": 0.10051798075437546, "mse": 0.10051798075437546, "sec": 182.5}
{"step": 12800, "loss": 0.0474107451736927, "mse": 0.0474107451736927, "sec": 183.9}
