dataset: 753 demos kept, 271 rejected, 355416 samples; episode length 472-472 env steps
policy: FlowMatchingPolicy, 23275k params, chunk 50, n_action_steps 15, 10 Euler steps
{"step": 100, "loss": 0.31355056166648865, "mse": 0.31355056166648865, "sec": 1.9}
{"step": 200, "loss": 0.25200778245925903, "mse": 0.25200778245925903, "sec": 3.4}
{"step": 300, "loss": 0.2098228931427002, "mse": 0.2098228931427002, "sec": 4.9}
{"step": 400, "loss": 0.13662494719028473, "mse": 0.13662494719028473, "sec": 6.4}
{"step": 500, "loss": 0.17791642248630524, "mse": 0.17791642248630524, "sec": 7.9}
{"step": 600, "loss": 0.17166687548160553, "mse": 0.17166687548160553, "sec": 9.4}
{"step": 700, "loss": 0.15952298045158386, "mse": 0.15952298045158386, "sec": 10.9}
{"step": 800, "loss": 0.12110917270183563, "mse": 0.12110917270183563, "sec": 12.4}
{"step": 900, "loss": 0.15864834189414978, "mse": 0.15864834189414978, "sec": 13.9}
{"step": 1000, "loss": 0.0979950875043869, "mse": 0.0979950875043869, "sec": 15.4}
{"step": 1100, "loss": 0.1164722740650177, "mse": 0.1164722740650177, "sec": 16.9}
{"step": 1200, "loss": 0.13800758123397827, "mse": 0.13800758123397827, "sec": 18.3}
{"step": 1300, "loss": 0.13414102792739868, "mse": 0.13414102792739868, "sec": 19.7}
{"step": 1400, "loss": 0.11002801358699799, "mse": 0.11002801358699799, "sec": 21.2}
{"step": 1500, "loss": 0.09231764823198318, "mse": 0.09231764823198318, "sec": 22.6}
{"step": 1600, "loss": 0.1086496040225029, "mse": 0.1086496040225029, "sec": 24.0}
{"step": 1700, "loss": 0.06680307537317276, "mse": 0.06680307537317276, "sec": 25.5}
{"step": 1800, "loss": 0.15007945895195007, "mse": 0.15007945895195007, "sec": 26.9}
{"step": 1900, "loss": 0.11123311519622803, "mse": 0.11123311519622803, "sec": 28.3}
{"step": 2000, "loss": 0.09293987601995468, "mse": 0.09293987601995468, "sec": 29.8}
{"step": 2100, "loss": 0.12651453912258148, "mse": 0.12651453912258148, "sec": 31.2}
{"step": 2200, "loss": 0.07320744544267654, "mse": 0.07320744544267654, "sec": 32.6}
{"step": 2300, "loss": 0.09934224933385849, "mse": 0.09934224933385849, "sec": 34.1}
{"step": 2400, "loss": 0.06272655725479126, "mse": 0.06272655725479126, "sec": 35.5}
{"step": 2500, "loss": 0.09592149406671524, "mse": 0.09592149406671524, "sec": 36.9}
{"step": 2600, "loss": 0.11588355898857117, "mse": 0.11588355898857117, "sec": 38.4}
{"step": 2700, "loss": 0.12783975899219513, "mse": 0.12783975899219513, "sec": 39.8}
