dataset: 774 demos kept, 250 rejected, 251550 samples; episode length 325-325 env steps
policy: FlowMatchingPolicy, 23275k params, chunk 50, n_action_steps 15, 10 Euler steps
{"step": 100, "loss": 0.3032586872577667, "mse": 0.3032586872577667, "sec": 1.9}
{"step": 200, "loss": 0.23455849289894104, "mse": 0.23455849289894104, "sec": 3.4}
{"step": 300, "loss": 0.19498685002326965, "mse": 0.19498685002326965, "sec": 4.9}
{"step": 400, "loss": 0.12530246376991272, "mse": 0.12530246376991272, "sec": 6.5}
{"step": 500, "loss": 0.1440991312265396, "mse": 0.1440991312265396, "sec": 8.0}
{"step": 600, "loss": 0.16207800805568695, "mse": 0.16207800805568695, "sec": 9.5}
{"step": 700, "loss": 0.14437252283096313, "mse": 0.14437252283096313, "sec": 11.1}
{"step": 800, "loss": 0.11552184820175171, "mse": 0.11552184820175171, "sec": 12.6}
{"step": 900, "loss": 0.16363884508609772, "mse": 0.16363884508609772, "sec": 14.1}
{"step": 1000, "loss": 0.09003535658121109, "mse": 0.09003535658121109, "sec": 15.7}
{"step": 1100, "loss": 0.10813020914793015, "mse": 0.10813020914793015, "sec": 17.2}
{"step": 1200, "loss": 0.12188654392957687, "mse": 0.12188654392957687, "sec": 18.7}
{"step": 1300, "loss": 0.12473316490650177, "mse": 0.12473316490650177, "sec": 20.2}
{"step": 1400, "loss": 0.09984346479177475, "mse": 0.09984346479177475, "sec": 21.8}
{"step": 1500, "loss": 0.07793248444795609, "mse": 0.07793248444795609, "sec": 23.3}
{"step": 1600, "loss": 0.1031809151172638, "mse": 0.1031809151172638, "sec": 24.8}
{"step": 1700, "loss": 0.04990682378411293, "mse": 0.04990682378411293, "sec": 26.3}
{"step": 1800, "loss": 0.12789535522460938, "mse": 0.12789535522460938, "sec": 27.8}
{"step": 1900, "loss": 0.09918101131916046, "mse": 0.09918101131916046, "sec": 29.4}
{"step": 2000, "loss": 0.0935072973370552, "mse": 0.0935072973370552, "sec": 30.9}
{"step": 2100, "loss": 0.1428065150976181, "mse": 0.1428065150976181, "sec": 32.4}
{"step": 2200, "loss": 0.06142321228981018, "mse": 0.06142321228981018, "sec": 33.9}
{"step": 2300, "loss": 0.08528012037277222, "mse": 0.08528012037277222, "sec": 35.4}
{"step": 2400, "loss": 0.06687349826097488, "mse": 0.06687349826097488, "sec": 36.9}
{"step": 2500, "loss": 0.08084116876125336, "mse": 0.08084116876125336, "sec": 38.5}
{"step": 2600, "loss": 0.12267719209194183, "mse": 0.12267719209194183, "sec": 40.0}
{"step": 2700, "loss": 0.12407194077968597, "mse": 0.12407194077968597, "sec": 41.5}
{"step": 2800, "loss": 0.09097082167863846, "mse": 0.09097082167863846, "sec": 43.1}
{"step": 2900, "loss": 0.11902565509080887, "mse": 0.11902565509080887, "sec": 44.6}
{"step": 3000, "loss": 0.06594982743263245, "mse": 0.06594982743263245, "sec": 46.1}
{"step": 3100, "loss": 0.09461811929941177, "mse": 0.09461811929941177, "sec": 47.6}
{"step": 3200, "loss": 0.12753522396087646, "mse": 0.12753522396087646, "sec": 49.1}
{"step": 3300, "loss": 0.07521752268075943, "mse": 0.07521752268075943, "sec": 50.6}
{"step": 3400, "loss": 0.07860193401575089, "mse": 0.07860193401575089, "sec": 52.1}
{"step": 3500, "loss": 0.06315260380506516, "mse": 0.06315260380506516, "sec": 53.7}
{"step": 3600, "loss": 0.04206577315926552, "mse": 0.04206577315926552, "sec": 55.2}
{"step": 3700, "loss": 0.044853903353214264, "mse": 0.044853903353214264, "sec": 56.7}
{"step": 3800, "loss": 0.04876379296183586, "mse": 0.04876379296183586, "sec": 58.2}
{"step": 3900, "loss": 0.09770652651786804, "mse": 0.09770652651786804, "sec": 59.7}
{"step": 4000, "loss": 0.07658108323812485, "mse": 0.07658108323812485, "sec": 61.6}
{"step": 4100, "loss": 0.11001990735530853, "mse": 0.11001990735530853, "sec": 63.7}
{"step": 4200, "loss": 0.06831907480955124, "mse": 0.06831907480955124, "sec": 65.7}
{"step": 4300, "loss": 0.13613401353359222, "mse": 0.13613401353359222, "sec": 67.7}
{"step": 4400, "loss": 0.059785109013319016, "mse": 0.059785109013319016, "sec": 69.6}
{"step": 4500, "loss": 0.0670565664768219, "mse": 0.0670565664768219, "sec": 71.6}
{"step": 4600, "loss": 0.04235423728823662, "mse": 0.04235423728823662, "sec": 73.6}
{"step": 4700, "loss": 0.07816048711538315, "mse": 0.07816048711538315, "sec": 75.6}
{"step": 4800, "loss": 0.05675054341554642, "mse": 0.05675054341554642, "sec": 77.6}
{"step": 4900, "loss": 0.09459244459867477, "mse": 0.09459244459867477, "sec": 79.6}
{"step": 5000, "loss": 0.056109584867954254, "mse": 0.056109584867954254, "sec": 81.6}
{"step": 5100, "loss": 0.08669612556695938, "mse": 0.08669612556695938, "sec": 83.6}
{"step": 5200, "loss": 0.07068581134080887, "mse": 0.07068581134080887, "sec": 85.6}
{"step": 5300, "loss": 0.08886069059371948, "mse": 0.08886069059371948, "sec": 87.7}
{"step": 5400, "loss": 0.08161326497793198, "mse": 0.08161326497793198, "sec": 89.7}
{"step": 5500, "loss": 0.05269528925418854, "mse": 0.05269528925418854, "sec": 91.8}
{"step": 5600, "loss": 0.10369284451007843, "mse": 0.10369284451007843, "sec": 93.8}
{"step": 5700, "loss": 0.06967081129550934, "mse": 0.06967081129550934, "sec": 95.9}
{"step": 5800, "loss": 0.09247779846191406, "mse": 0.09247779846191406, "sec": 97.9}
{"step": 5900, "loss": 0.07460246235132217, "mse": 0.07460246235132217, "sec": 99.9}
{"step": 6000, "loss": 0.05570994317531586, "mse": 0.05570994317531586, "sec": 102.0}
{"step": 6100, "loss": 0.07425058633089066, "mse": 0.07425058633089066, "sec": 104.0}
{"step": 6200, "loss": 0.07455869764089584, "mse": 0.07455869764089584, "sec": 106.1}
{"step": 6300, "loss": 0.046929433941841125, "mse": 0.046929433941841125, "sec": 108.1}
{"step": 6400, "loss": 0.1116175577044487, "mse": 0.1116175577044487, "sec": 110.1}
{"step": 6500, "loss": 0.041878364980220795, "mse": 0.041878364980220795, "sec": 112.0}
{"step": 6600, "loss": 0.06566190719604492, "mse": 0.06566190719604492, "sec": 114.0}
{"step": 6700, "loss": 0.08891941606998444, "mse": 0.08891941606998444, "sec": 116.0}
{"step": 6800, "loss": 0.06908337026834488, "mse": 0.06908337026834488, "sec": 118.1}
{"step": 6900, "loss": 0.07413527369499207, "mse": 0.07413527369499207, "sec": 120.1}
{"step": 7000, "loss": 0.033962443470954895, "mse": 0.033962443470954895, "sec": 122.1}
{"step": 7100, "loss": 0.07243303954601288, "mse": 0.07243303954601288, "sec": 124.0}
{"step": 7200, "loss": 0.058545880019664764, "mse": 0.058545880019664764, "sec": 125.8}
{"step": 7300, "loss": 0.07414288818836212, "mse": 0.07414288818836212, "sec": 127.6}
{"step": 7400, "loss": 0.04525983706116676, "mse": 0.04525983706116676, "sec": 129.4}
{"step": 7500, "loss": 0.05999017134308815, "mse": 0.05999017134308815, "sec": 131.2}
{"step": 7600, "loss": 0.061610449105501175, "mse": 0.061610449105501175, "sec": 133.0}
{"step": 7700, "loss": 0.10541928559541702, "mse": 0.10541928559541702, "sec": 134.8}
{"step": 7800, "loss": 0.08881963789463043, "mse": 0.08881963789463043, "sec": 136.6}
{"step": 7900, "loss": 0.08120609819889069, "mse": 0.08120609819889069, "sec": 138.4}
{"step": 8000, "loss": 0.03965362533926964, "mse": 0.03965362533926964, "sec": 139.8}
{"step": 8100, "loss": 0.06184086576104164, "mse": 0.06184086576104164, "sec": 141.3}
{"step": 8200, "loss": 0.06467372179031372, "mse": 0.06467372179031372, "sec": 142.7}
{"step": 8300, "loss": 0.08338314294815063, "mse": 0.08338314294815063, "sec": 144.1}
{"step": 8400, "loss": 0.05564118176698685, "mse": 0.05564118176698685, "sec": 145.5}
{"step": 8500, "loss": 0.09400932490825653, "mse": 0.09400932490825653, "sec": 147.0}
{"step": 8600, "loss": 0.08001019805669785, "mse": 0.08001019805669785, "sec": 148.4}
{"step": 8700, "loss": 0.07764556258916855, "mse": 0.07764556258916855, "sec": 149.8}
{"step": 8800, "loss": 0.06270568817853928, "mse": 0.06270568817853928, "sec": 151.3}
{"step": 8900, "loss": 0.07995162159204483, "mse": 0.07995162159204483, "sec": 152.7}
{"step": 9000, "loss": 0.06490606814622879, "mse": 0.06490606814622879, "sec": 154.1}
{"step": 9100, "loss": 0.05493535101413727, "mse": 0.05493535101413727, "sec": 155.5}
{"step": 9200, "loss": 0.051592595875263214, "mse": 0.051592595875263214, "sec": 157.0}
{"step": 9300, "loss": 0.03596382960677147, "mse": 0.03596382960677147, "sec": 158.4}
{"step": 9400, "loss": 0.08914504200220108, "mse": 0.08914504200220108, "sec": 159.8}
{"step": 9500, "loss": 0.042420536279678345, "mse": 0.042420536279678345, "sec": 161.2}
{"step": 9600, "loss": 0.046345677226781845, "mse": 0.046345677226781845, "sec": 162.7}
{"step": 9700, "loss": 0.04642811790108681, "mse": 0.04642811790108681, "sec": 164.1}
{"step": 9800, "loss": 0.06563657522201538, "mse": 0.06563657522201538, "sec": 165.5}
{"step": 9900, "loss": 0.05160730704665184, "mse": 0.05160730704665184, "sec": 167.0}
{"step": 10000, "loss": 0.0593629814684391, "mse": 0.0593629814684391, "sec": 168.4}
{"step": 10100, "loss": 0.041003674268722534, "mse": 0.041003674268722534, "sec": 169.9}
{"step": 10200, "loss": 0.04124099388718605, "mse": 0.04124099388718605, "sec": 171.3}
{"step": 10300, "loss": 0.093836709856987, "mse": 0.093836709856987, "sec": 172.7}
{"step": 10400, "loss": 0.07326292991638184, "mse": 0.07326292991638184, "sec": 174.2}
{"step": 10500, "loss": 0.0503038726747036, "mse": 0.0503038726747036, "sec": 175.6}
{"step": 10600, "loss": 0.047941964119672775, "mse": 0.047941964119672775, "sec": 177.0}
{"step": 10700, "loss": 0.08396434038877487, "mse": 0.08396434038877487, "sec": 178.5}
{"step": 10800, "loss": 0.06301513314247131, "mse": 0.06301513314247131, "sec": 179.9}
{"step": 10900, "loss": 0.05450207740068436, "mse": 0.05450207740068436, "sec": 181.3}
{"step": 11000, "loss": 0.04709642380475998, "mse": 0.04709642380475998, "sec": 182.7}
{"step": 11100, "loss": 0.06688341498374939, "mse": 0.06688341498374939, "sec": 184.2}
{"step": 11200, "loss": 0.0505550354719162, "mse": 0.0505550354719162, "sec": 185.6}
{"step": 11300, "loss": 0.04133784770965576, "mse": 0.04133784770965576, "sec": 187.0}
{"step": 11400, "loss": 0.05342737212777138, "mse": 0.05342737212777138, "sec": 188.4}
{"step": 11500, "loss": 0.05759887024760246, "mse": 0.05759887024760246, "sec": 189.9}
{"step": 11600, "loss": 0.04272908344864845, "mse": 0.04272908344864845, "sec": 191.3}
{"step": 11700, "loss": 0.05452274531126022, "mse": 0.05452274531126022, "sec": 192.7}
{"step": 11800, "loss": 0.0554819293320179, "mse": 0.0554819293320179, "sec": 194.3}
{"step": 11900, "loss": 0.03611264005303383, "mse": 0.03611264005303383, "sec": 195.7}
{"step": 12000, "loss": 0.041497644037008286, "mse": 0.041497644037008286, "sec": 197.1}
{"step": 12100, "loss": 0.057662468403577805, "mse": 0.057662468403577805, "sec": 198.5}
